Rank,Country Name,Country_Encoded,Country ISO,HDI Score,Life expectancy,Expected yrs of schooling,Mean yrs of schooling,GNI per capita,Development Tier,Health_Index,Expected_Schooling_Index,Mean_Schooling_Index,Education_Index,GNI_Cleaned,Income_Index
1,Norway,131,NOR,0.949,81.7,17.7,12.7,67614.0,Very High,0.9492307692307693,0.9833333333333333,0.8466666666666666,0.9149999999999999,67614.0,0.9843395914057606
2,Switzerland,169,SWI,0.939,83.1,16.0,13.4,56364.0,Very High,0.9707692307692307,0.8888888888888888,0.8933333333333333,0.8911111111111111,56364.0,0.956849803953578
3,Australia,8,AUS,0.939,82.5,20.4,13.2,42822.0,Very High,0.9615384615384616,1.0,0.88,0.94,42822.0,0.9153429113493061
4,Germany,70,GER,0.926,81.1,17.1,13.2,45000.0,Very High,0.94,0.9500000000000001,0.88,0.915,45000.0,0.9228368617945059
5,Singapore,157,SIN,0.925,83.2,15.4,11.6,78162.0,Very High,0.9723076923076923,0.8555555555555556,0.7733333333333333,0.8144444444444445,75000.0,1.0
6,Denmark,46,DEN,0.925,80.4,19.2,12.7,44519.0,Very High,0.9292307692307693,1.0,0.8466666666666666,0.9233333333333333,44519.0,0.921213552641435
7,Netherlands,126,NET,0.924,81.7,18.1,11.9,46326.0,Very High,0.9492307692307693,1.0,0.7933333333333333,0.8966666666666667,46326.0,0.927223651468639
8,Ireland,87,IRE,0.923,81.1,18.6,12.3,43798.0,Very High,0.94,1.0,0.8200000000000001,0.91,43798.0,0.9187471282392615
9,Iceland,82,ICE,0.921,82.7,19.0,12.2,37065.0,Very High,0.9646153846153847,1.0,0.8133333333333332,0.9066666666666666,37065.0,0.8935336568888146
10,United States,186,UNI,0.919,79.2,16.5,13.2,53245.0,Very High,0.9107692307692308,0.9166666666666666,0.88,0.8983333333333333,53245.0,0.9482506915888752
11,Canada,31,CAN,0.92,82.2,16.3,13.1,42582.0,Very High,0.956923076923077,0.9055555555555556,0.8733333333333333,0.8894444444444445,42582.0,0.9144939236915047
12,"Hong Kong, China (SAR)",80,HON,0.918,84.2,15.7,11.6,54265.0,Very High,0.9876923076923078,0.8722222222222222,0.7733333333333333,0.8227777777777778,54265.0,0.9511170569353963
13,New Zealand,127,NEW,0.915,70.68894736842105,12.75,8.117368421052632,16637.647368421054,Very High,0.7798299595141701,0.7083333333333334,0.5411578947368422,0.6247456140350878,16637.647368421054,0.772537247660219
14,Sweden,168,SWE,0.913,82.3,16.1,12.3,46251.0,Very High,0.9584615384615384,0.8944444444444445,0.8200000000000001,0.8572222222222223,46251.0,0.9269788999141062
15,Liechtenstein,105,LIE,0.912,80.2,14.6,12.4,75065.0,Very High,0.9261538461538462,0.8111111111111111,0.8266666666666667,0.8188888888888889,75000.0,1.0
16,United Kingdom,185,UNI,0.909,80.8,16.3,13.3,37931.0,Very High,0.9353846153846154,0.9055555555555556,0.8866666666666667,0.8961111111111111,37931.0,0.8970223783695982
17,Japan,91,JAP,0.904,83.7,15.3,12.5,37268.0,Very High,0.9800000000000001,0.8500000000000001,0.8333333333333334,0.8416666666666668,37268.0,0.8943587114326386
18,Korea (Republic of),96,KOR,0.901,82.1,16.6,12.2,34541.0,Very High,0.9553846153846153,0.9222222222222223,0.8133333333333332,0.8677777777777778,34541.0,0.8828802846874467
19,Israel,88,ISR,0.9,82.6,16.0,12.8,31215.0,Very High,0.9630769230769229,0.8888888888888888,0.8533333333333334,0.8711111111111112,31215.0,0.8675861523467907
20,Luxembourg,107,LUX,0.9,81.9,13.9,12.0,62471.0,Very High,0.9523076923076924,0.7722222222222223,0.8,0.7861111111111112,62471.0,0.9723891777669533
21,France,66,FRA,0.898,82.4,16.3,11.6,38085.0,Very High,0.9600000000000001,0.9055555555555556,0.7733333333333333,0.8394444444444444,38085.0,0.8976344235826462
22,Belgium,16,BEL,0.895,81.0,16.6,11.4,41243.0,Very High,0.9384615384615385,0.9222222222222223,0.76,0.8411111111111111,41243.0,0.9096676587298802
23,Finland,65,FIN,0.894,81.0,17.0,11.2,38868.0,Very High,0.9384615384615385,0.9444444444444444,0.7466666666666666,0.8455555555555555,38868.0,0.9007085264690564
24,Austria,9,AUS,0.893,81.6,15.9,11.3,43609.0,Very High,0.9476923076923076,0.8833333333333333,0.7533333333333334,0.8183333333333334,43609.0,0.9180938721447688
25,Slovenia,159,SLO,0.89,80.6,17.3,12.1,28664.0,Very High,0.9323076923076922,0.9611111111111111,0.8066666666666666,0.883888888888889,28664.0,0.8547076288242786
26,Italy,89,ITA,0.887,83.3,16.3,10.9,33573.0,Very High,0.9738461538461538,0.9055555555555556,0.7266666666666667,0.8161111111111111,33573.0,0.8785865479192229
27,Spain,163,SPA,0.884,82.8,17.7,9.8,32779.0,Very High,0.9661538461538461,0.9833333333333333,0.6533333333333334,0.8183333333333334,32779.0,0.87497116402341
28,Czech Republic,44,CZE,0.877,78.8,16.8,12.3,28144.0,Very High,0.9046153846153846,0.9333333333333333,0.8200000000000001,0.8766666666666667,28144.0,0.8519421319126445
29,Greece,72,GRE,0.865,81.1,17.2,10.5,24808.0,Very High,0.94,0.9555555555555555,0.7,0.8277777777777777,24808.0,0.8328837314598224
30,Estonia,62,EST,0.865,77.0,16.5,12.5,26362.0,Very High,0.8769230769230769,0.9166666666666666,0.8333333333333334,0.875,26362.0,0.8420614845747262
31,Brunei Darussalam,24,BRU,0.864,79.0,14.9,9.0,72843.0,Very High,0.9076923076923077,0.8277777777777778,0.6,0.7138888888888889,72843.0,0.9955919409871792
32,Andorra,3,AND,0.859,81.5,13.5,10.3,47979.0,Very High,0.9461538461538461,0.75,0.6866666666666668,0.7183333333333334,47979.0,0.9325196739639079
33,Qatar,143,QAT,0.856,78.3,13.4,9.8,129916.0,Very High,0.8969230769230769,0.7444444444444445,0.6533333333333334,0.6988888888888889,75000.0,1.0
34,Malta,113,MAL,0.856,80.7,14.6,11.3,29500.0,Very High,0.9338461538461539,0.8111111111111111,0.7533333333333334,0.7822222222222223,29500.0,0.8590502217905864
35,Cyprus,43,CYP,0.856,70.68894736842105,12.75,8.117368421052632,16637.647368421054,Very High,0.7798299595141701,0.7083333333333334,0.5411578947368422,0.6247456140350878,16637.647368421054,0.772537247660219
36,Poland,141,POL,0.855,77.6,16.4,11.9,24117.0,Very High,0.8861538461538461,0.911111111111111,0.7933333333333333,0.8522222222222222,24117.0,0.8286165285297478
37,Lithuania,106,LIT,0.848,73.5,16.5,12.7,26006.0,Very High,0.823076923076923,0.9166666666666666,0.8466666666666666,0.8816666666666666,26006.0,0.8400076857364092
38,Saudi Arabia,152,SAU,0.846,74.4,16.1,9.6,51320.0,Very High,0.836923076923077,0.8944444444444445,0.64,0.7672222222222222,51320.0,0.9426883114503011
39,Chile,34,CHI,0.847,82.0,16.3,9.9,21665.0,Very High,0.9538461538461539,0.9055555555555556,0.66,0.7827777777777778,21665.0,0.8124204945166654
40,Slovakia,158,SLO,0.845,76.4,15.0,12.2,26764.0,Very High,0.8676923076923078,0.8333333333333334,0.8133333333333332,0.8233333333333333,26764.0,0.8443475803863809
41,Portugal,142,POR,0.843,81.2,16.6,8.9,26104.0,Very High,0.9415384615384615,0.9222222222222223,0.5933333333333334,0.7577777777777779,26104.0,0.8405758484356042
42,United Arab Emirates,184,UNI,0.839,77.1,13.3,9.5,66203.0,Very High,0.8784615384615384,0.7388888888888889,0.6333333333333333,0.6861111111111111,66203.0,0.9811539343286224
43,Hungary,81,HUN,0.836,75.3,15.6,12.0,23394.0,Very High,0.8507692307692307,0.8666666666666667,0.8,0.8333333333333334,23394.0,0.8240187837864731
44,Latvia,100,LAT,0.829,74.3,16.0,11.7,22589.0,Very High,0.8353846153846154,0.8888888888888888,0.7799999999999999,0.8344444444444443,22589.0,0.8187293381850504
45,Croatia,41,CRO,0.828,77.5,15.3,11.2,20291.0,Very High,0.8846153846153846,0.8500000000000001,0.7466666666666666,0.7983333333333333,20291.0,0.8025232297641014
46,Argentina,6,ARG,0.829,76.5,17.3,9.9,20945.0,Very High,0.8692307692307693,0.9611111111111111,0.66,0.8105555555555556,20945.0,0.8073150976821508
47,Bahrain,12,BAH,0.824,76.7,14.5,9.4,37236.0,Very High,0.8723076923076923,0.8055555555555556,0.6266666666666667,0.7161111111111111,37236.0,0.8942289523941603
