col_0,col_1,Country Name,col_3,HDI Score,Life expectancy,Expected yrs of schooling,Mean yrs of schooling,GNI per capita,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,col_51,col_52,col_53,col_54,col_55,col_56,col_57,col_58,col_59,col_60,col_61,col_62,col_63,col_64,col_65,col_66,col_67,col_68,col_69,col_70,col_71,col_72,col_73,col_74,col_75,col_76,col_77,col_78,col_79,col_80,col_81
0.497,0.385,Norway,-0.898,0.949,81.7,17.7,12.7,67614.0,0.248,0.178,-1.89,0.759,-0.159,-0.021,1.374,-1.773,1.49,0.699,-0.295,1.231,0.252,-0.484,0.416,1.221,0.308,-0.556,-1.032,0.509,-1.595,-0.231,-1.014,-1.179,-0.819,-0.037,-0.806,0.243,-0.416,-0.217,-0.326,-1.568,-0.597,2.049,0.564,1.052,-0.731,-0.834,2.21,0.604,-1.458,0.174,-1.377,-0.391,-0.064,1.424,2.008,-0.485,-1.782,-0.179,-0.067,1.541,-0.708,1.625,0.489,-0.126,0.125,0.604,-0.247,0.588,0.607,-0.237,0.356,0.197,1.678,0.613,0.151,0.378,-0.369,-0.862,0.726,-1.652,2.245
-0.138,-0.884,Switzerland,0.492,0.939,83.1,16.0,13.4,56364.0,-0.459,-1.335,-0.452,0.281,-0.027,-0.747,-0.137,1.262,-1.601,0.421,0.976,1.685,-0.116,-0.612,-0.054,-0.877,-0.525,-0.13,0.595,-0.43,0.421,-0.576,-1.34,-0.22,1.092,0.66,1.01,-0.47,0.002,-0.939,-1.345,0.457,-1.496,-1.625,-0.591,0.097,-0.898,-0.68,0.327,-0.41,1.63,-0.618,-0.343,1.479,-1.254,1.414,-1.472,0.143,-2.343,0.753,-0.822,-0.526,-0.435,-1.362,0.44,-1.073,1.099,0.628,-0.331,-1.311,0.246,-0.134,0.648,0.114,2.398,-0.083,-0.859,1.753,-0.03,-0.587,0.349,-0.763,-0.44
0.648,0.154,Australia,-1.32,0.939,82.5,20.4,13.2,42822.0,-0.85,0.38,-2.424,0.104,-0.933,-2.424,0.953,-0.906,-0.828,0.492,0.918,0.563,0.215,0.491,-0.982,1.712,1.352,1.669,-0.59,-1.484,-0.578,1.471,0.432,0.61,-0.548,1.09,-0.044,0.612,1.533,1.333,-0.281,-0.393,-0.012,-0.557,1.555,-0.227,-0.637,-0.796,-0.835,-0.071,0.37,-1.619,1.142,-0.659,-0.999,-0.029,0.734,-1.076,-0.614,-0.615,1.624,-0.435,-1.478,1.692,-0.075,-0.849,-0.352,-1.661,0.279,-0.007,-1.418,-0.92,0.494,0.232,0.531,-0.321,0.027,1.343,1.463,1.294,-0.271,1.447,1.135
1.523,0.058,Germany,1.831,0.926,81.1,17.1,13.2,45000.0,0.83,0.611,-1.584,-0.063,-0.443,0.884,1.612,-0.654,-0.103,-0.526,-1.246,-0.88,1.578,-0.358,1.122,-1.748,0.424,-0.943,-0.132,-0.208,0.881,-0.699,-0.681,-1.555,-1.336,-0.748,1.378,-0.979,-1.345,0.929,0.505,-0.762,-0.173,0.033,-1.115,0.4,-0.375,0.192,1.653,0.091,-0.589,0.63,1.157,1.329,0.273,0.139,-0.575,0.337,-0.198,-0.825,-0.528,0.816,-2.291,-0.26,1.093,-1.309,1.185,1.55,-1.71,-0.312,-0.332,1.057,1.039,0.072,-0.993,0.167,0.75,-0.231,0.147,-0.775,0.994,0.244,-0.741
-0.234,-1.143,Singapore,1.179,0.925,83.2,15.4,11.6,78162.0,-0.856,0.56,0.76,-0.754,-0.885,0.737,1.315,-0.596,-1.643,-2.153,0.055,1.987,0.985,-0.139,2.32,0.435,0.039,1.615,0.072,1.207,0.001,-1.037,0.968,0.201,0.724,-1.967,-0.672,-1.382,-0.861,-0.605,0.528,-0.76,-0.436,1.137,-1.739,2.289,-0.049,-0.161,2.078,0.108,-1.253,-0.266,-0.171,0.817,0.342,1.111,-0.336,-0.458,1.301,0.226,-1.127,-1.623,-1.108,0.035,0.97,-0.154,1.062,0.514,1.037,0.662,-0.613,-1.062,0.202,-1.273,-0.549,1.157,-0.053,0.473,1.137,0.125,0.066,0.192,1.538
-0.234,0.358,Denmark,-0.469,0.925,80.4,19.2,12.7,44519.0,0.072,1.081,0.786,-0.281,-0.173,-0.281,1.64,1.374,-0.176,1.097,-0.71,-0.531,0.869,0.74,0.196,0.475,-1.436,-0.322,-1.5,-1.527,0.395,0.665,0.994,0.101,1.291,-0.021,-0.055,-1.798,1.377,0.498,-1.9,-0.394,0.442,0.399,1.107,-1.763,0.235,-0.555,-0.033,0.998,0.396,0.557,-0.735,-0.913,-1.099,-1.501,-0.317,1.047,0.868,1.118,-0.451,-1.213,-1.57,-1.087,0.413,-0.866,1.008,0.75,0.633,0.228,-0.462,-0.136,0.479,-1.318,0.282,1.126,-0.391,-0.317,-0.911,-0.783,-0.465,2.132,-0.7
1.579,0.561,Netherlands,-1.713,0.924,81.7,18.1,11.9,46326.0,-0.478,0.834,0.425,-1.693,1.712,0.067,0.742,-2.136,1.661,-0.479,-1.259,-0.335,-0.456,-1.909,-0.904,-0.796,-1.316,1.325,-0.779,-1.055,-0.958,-0.796,1.374,0.041,2.588,0.294,-0.922,-2.224,1.02,0.537,-0.128,0.382,-0.751,0.31,-2.275,0.782,-3.688,0.428,-0.504,0.644,-0.117,1.864,0.956,0.307,0.045,-0.323,-0.803,0.774,0.227,-1.169,-2.002,1.097,0.337,-0.771,0.055,0.907,0.094,-0.759,-1.243,1.345,-1.304,0.293,0.156,-2.214,0.456,-0.24,0.203,2.055,-0.205,-0.314,-0.181,0.246,-1.192
0.767,1.083,Ireland,1.354,0.923,81.1,18.6,12.3,43798.0,0.479,0.459,-0.967,-0.098,-1.372,0.516,0.075,3.138,0.021,-0.863,-0.217,0.342,-0.889,1.318,-1.549,0.424,0.281,-1.407,1.351,0.126,-0.589,-0.95,-0.852,1.037,-1.2,0.249,0.007,-0.518,-0.363,0.642,-1.383,-1.312,-1.152,-1.127,-0.204,-0.912,-0.808,1.723,-0.172,2.077,1.574,-2.141,1.184,-0.051,0.631,1.336,0.571,-0.496,-0.89,-0.15,-0.651,-1.172,-0.518,-0.503,0.657,0.406,-0.668,0.622,-2.269,-0.602,1.126,1.353,0.688,0.818,0.698,0.768,0.697,1.149,1.484,-0.046,-1.746,-0.708,-0.209
-0.469,1.054,Iceland,-0.115,0.921,82.7,19.0,12.2,37065.0,0.334,-0.07,-0.048,-0.989,-1.614,-1.563,-1.602,1.056,0.231,0.693,-0.308,1.554,0.955,0.073,0.258,1.28,-2.133,0.586,0.886,-0.985,-0.459,-1.444,0.475,0.334,0.699,-0.327,-1.479,-0.301,0.854,-1.694,0.902,-0.397,0.109,-1.157,3.118,-0.02,-0.392,1.639,0.715,2.206,-0.346,-0.7,-1.165,0.626,-1.151,0.975,1.391,-0.127,-0.961,-1.732,-0.968,-1.819,-0.538,-1.046,0.314,-0.07,-1.395,1.126,-0.977,0.709,1.602,-0.011,-1.577,0.828,0.46,-0.195,-1.107,0.17,-0.676,-0.783,-0.182,-0.282,-0.532
0.543,-1.378,United States,1.238,0.919,79.2,16.5,13.2,53245.0,1.038,-1.661,-0.004,-1.104,1.471,-0.529,-0.246,0.223,-1.26,-0.392,2.427,0.854,0.876,-0.411,1.104,-2.217,1.013,-0.737,-0.063,-0.793,0.857,-0.483,0.632,1.478,-0.41,0.125,-0.488,-0.631,0.341,1.007,0.784,-0.041,0.386,0.323,-0.012,-0.248,1.505,-1.923,1.278,0.08,-0.837,-0.209,-1.204,-0.223,1.105,0.369,0.47,-0.551,0.254,-0.393,0.617,1.869,-0.984,-0.209,1.061,-0.797,-0.04,-0.099,-0.243,0.162,0.978,0.936,-0.894,0.844,0.007,0.034,0.261,0.2,-0.151,-0.96,0.688,-1.135,0.596
